keyword,freq_2014
food,571
risk,338
data,278
drying,244
efsa,214
species,197
plant,194
assessment,191
plants,186
european,184
health,172
products,161
control,147
consumer,145
identified,142
quality,137
derived,134
regulation,134
total,133
higher,131
increased,130
foods,127
production,123
mrl,121
acid,119
fruit,117
treatment,117
order,116
water,115
mrls,113
potential,112
development,110
residues,106
temperature,105
processing,105
increase,104
observed,104
proposed,103
children,103
evidence,102
application,98
active,97
vegetables,97
crops,97
ffs,96
gene,95
diet,93
framework,93
regulatory,91
chemical,91
exposure,91
consumption,90
practices,89
protein,89
energy,88
fresh,88
effective,87
properties,87
carrot,87
host,86
safety,86
fruits,86
dietary,85
values,84
product,84
life,84
compounds,84
soil,82
management,80
investigated,80
commission,79
applications,79
disease,77
isolates,76
farmers,76
intake,76
concentration,75
practical,75
pesticide,74
industry,74
reduced,74
sensory,73
society,72
models,72
consumers,72
established,71
concentrations,71
carried,71
substance,70
agricultural,70
evaluation,70
natural,69
characteristics,69
function,69
storage,68
authority,68
vegetable,68
proposals,68
change,67
rate,67
cell,66
day,66
cells,64
evaluated,64
oil,62
knowledge,62
weight,62
work,62
population,61
juice,61
social,61
source,60
studied,60
environmental,59
processed,59
context,59
days,59
power,59
commodities,59
addition,59
support,57
comparison,57
treatments,57
test,57
good,57
residue,57
peer,57
reviewed,57
age,57
proteins,56
bacteria,56
developed,55
resistance,55
report,55
treated,55
positive,55
crop,55
included,55
pressure,54
complex,54
pathogen,54
future,54
body,54
air,54
essential,53
parameters,53
collected,53
feeding,53
experimental,53
highest,53
antioxidant,52
molecular,52
consideration,52
presented,51
local,51
public,51
decreased,51
international,50
organic,50
mass,50
moisture,50
sample,50
extraction,50
size,49
populations,49
relative,49
produce,49
policy,49
basis,49
community,49
dried,49
alternative,49
early,48
missing,48
revealed,48
genes,48
root,47
potato,47
wheat,47
economic,47
chain,47
dna,46
clinical,46
roots,46
improve,46
form,46
light,46
scale,46
tomato,45
milk,45
reduction,45
involved,45
reference,45
reduce,45
sufficient,45
practice,45
caused,45
material,45
assessed,44
identify,44
fat,44
multiple,44
detected,43
evaluate,43
nutritional,43
conducted,43
microbial,43
adults,43
slices,43
design,42
type,42
oral,42
formation,42
seed,42
presence,42
initial,42
standard,42
capacity,42
effectiveness,42
responses,42
detection,42
stability,41
distribution,41
highly,41
carotenoid,41
market,41
allergy,41
improved,41
raise,41
cases,41
performed,41
carotenoids,40
determine,40
leaves,40
functional,40
loss,40
negative,40
provided,40
ems,40
allergens,40
types,40
rice,40
received,40
sources,40
reactions,40
fungal,39
environment,39
critical,39
mechanisms,39
kinetics,39
carrots,39
combined,39
pcr,39
structure,39
animal,39
sugar,38
tissues,38
leaf,38
single,38
supply,38
global,38
efficiency,38
directive,37
contamination,37
factor,37
national,37
vacuum,37
women,37
evaluating,37
learning,37
diffusion,37
include,37
supporting,37
objective,37
analytical,37
seeds,37
primary,37
interventions,36
measured,36
needed,36
average,36
tissue,36
red,36
uv,36
enzymes,36
relevant,36
coli,36
techniques,36
activation,36
crisis,36
density,35
target,35
oils,35
citrus,35
schools,35
yields,35
flow,35
heat,35
nutrition,35
carbon,35
costs,34
lead,34
anthropology,34
young,34
pathogens,34
hot,34
wild,34
association,34
mediated,34
lack,34
dry,33
diseases,33
controlled,33
liquid,33
ability,33
transfer,33
john,33
individual,33
wide,33
lettuce,33
bacterial,33
composition,33
allergic,32
traditional,32
times,32
diets,32
cost,32
