keyword,freq_2018
the,14276
and,12876
of,12677
to,6858
in,6699
a,4329
for,3262
with,2765
The,2574
is,2304
that,2296
were,2163
was,2094
on,2048
as,2000
by,1796
are,1503
from,1289
be,1251
food,1104
this,1036
at,968
an,962
study,907
or,874
In,807
This,729
not,691
their,691
can,673
which,658
have,609
results,557
A,557
between,541
used,540
s,535
drying,526
has,518
also,515
different,510
using,503
than,502
C,497
these,483
high,478
content,476
more,474
quality,473
g,453
data,451
risk,446
we,441
P,440
but,440
We,426
been,414
during,409
use,407
samples,405
higher,399
products,397
properties,396
plant,386
such,385
time,383
two,382
showed,379
it,376
its,375
control,373
species,373
may,370
other,362
total,361
health,358
both,358
based,356
foods,355
effect,341
analysis,338
potential,334
activity,334
significantly,331
well,331
effects,331
increased,327
levels,323
all,321
most,319
compared,314
acid,305
found,305
could,305
into,303
studies,301
treatment,298
children,297
present,292
including,290
water,287
research,284
conditions,283
However,282
had,278
processing,278
important,271
level,271
low,268
intake,266
associated,266
process,266
significant,264
one,263
after,262
methods,262
when,261
vegetables,261
development,260
assessment,259
three,258
review,254
method,250
how,248
production,248
diet,245
compounds,244
plants,243
product,243
reported,241
identified,240
increase,239
storage,238
p,235
applications,235
antioxidant,235
model,234
under,234
L,231
while,231
only,229
related,227
mg,226
dietary,226
they,219
respectively,219
natural,219
some,216
fruit,215
Practical,215
These,214
EFSA,213
N,213
color,212
no,211
lower,209
new,209
among,205
consumption,204
growth,203
consumer,203
observed,202
temperature,202
information,201
vegetable,200
values,199
sensory,199
soil,198
through,198
Results,197
first,196
group,193
specific,193
addition,192
those,190
kg,190
system,188
protein,188
will,188
fresh,188
available,186
value,185
juice,182
role,181
provide,181
investigated,179
over,177
application,175
residues,175
considered,175
article,173
up,173
dried,172
about,170
without,170
To,170
human,169
groups,169
nutritional,169
within,168
years,167
concentration,167
fruits,166
each,166
oil,166
due,166
energy,165
disease,164
change,164
reduced,164
effective,163
improve,163
active,163
changes,162
factors,162
S,162
better,161
further,160
increasing,159
approach,158
life,158
It,157
there,157
produce,157
obtained,156
parameters,156
should,155
carrot,155
crops,154
characteristics,154
number,153
exposure,153
work,150
did,149
developed,149
evaluated,148
non,148
being,148
impact,146
No,146
cell,145
test,145
treatments,145
range,145
many,145
patients,144
management,144
less,144
current,142
social,142
applied,141
concentrations,140
required,140
field,139
consumers,138
European,137
capacity,136
rate,136
out,135
paper,135
feeding,134
our,134
various,133
support,133
host,133
term,132
day,132
power,131
against,131
decreased,129
agricultural,129
influence,129
derived,129
weight,129
texture,129
large,128
min,128
population,128
highest,127
treated,127
long,126
chemical,126
findings,126
days,126
year,126
common,125
age,125
novel,125
crop,125
suggest,125
systems,125
MRL,124
e,124
conducted,123
For,123
functional,123
major,123
evidence,122
industry,122
knowledge,122
show,122
type,121
often,121
tested,121
loss,121
activities,121
sample,121
air,121
whether,120
residue,120
behavior,120
models,120
cells,120
n,120
Regulation,119
processes,119
phenolic,119
understanding,119
microwave,118
assessed,118
extraction,118
maximum,117
participants,117
differences,117
known,117
similar,117
gene,116
Methods,116
Our,116
positive,115
same,115
produced,115
healthy,114
across,114
root,114
self,113
four,113
E,113
per,112
environmental,112
key,112
I,112
where,112
mass,112
techniques,111
fat,111
framework,111
pesticide,111
moisture,111
starch,110
genes,110
carotene,110
future,110
composition,110
terms,109
potato,109
greater,109
reduce,109
reduction,109
types,109
determine,108
response,108
source,108
would,108
function,108
revealed,107
EC,106
order,106
local,106
several,106
studied,105
highly,105
expression,105
practices,105
packaging,104
performance,104
scale,104
Based,104
interactions,103
who,103
vitamin,103
There,103
thermal,103
physical,103
individual,102
policy,102
technology,102
body,102
improved,102
free,101
Therefore,101
proposed,101
aim,101
identify,101
States,101
presented,101
small,101
provides,101
strategies,101
determined,101
evaluation,100
ability,100
surface,100
provided,100
need,100
regulatory,100
overall,100
O,100
design,100
organic,100
literature,100
evaluate,99
structure,99
them,99
responses,98
affect,98
size,98
good,97
like,96
pH,96
stability,95
acids,95
materials,95
short,95
measured,95
proteins,94
waste,94
B,94
analyzed,93
main,93
because,93
possible,93
performed,93
contents,93
bioactive,93
included,93
Although,92
investigate,92
period,92
negative,92
wild,92
existing,92
benefits,92
As,92
pressure,92
essential,91
m,91
vitro,91
shelf,91
affected,91
status,91
cancer,90
examined,90
following,90
any,90
alternative,90
ratio,90
ultrasound,89
multiple,89
resistance,89
nutrient,89
individuals,89
eating,89
seed,89
complex,89
relationship,89
roots,88
case,88
especially,88
early,88
very,88
according,88
populations,88
before,87
then,87
oral,87
demonstrated,87
however,87
public,87
microbial,87
importance,87
rich,87
Conclusions,86
still,86
submitted,86
flour,86
experimental,86
market,85
efficiency,85
components,85
context,85
Society,85
cost,84
students,84
vacuum,84
assess,84
whereas,84
b,83
established,83
cut,83
help,83
processed,83
best,83
part,83
yield,83
Chemical,83
US,83
molecular,83
safety,83
presence,83
EU,82
thus,82
intervention,81
months,81
indicated,81
limited,81
females,81
national,81
recent,81
Moreover,81
carotenoids,81
containing,81
resulted,80
stage,80
diseases,80
substance,80
enzymes,80
stress,79
described,79
CI,79
made,79
F,79
D,79
sources,79
Member,79
carried,79
material,79
might,79
community,79
attributes,79
red,78
state,78
mechanisms,78
slices,78
reducing,78
relevant,78
fiber,78
cases,78
if,77
Here,77
sweet,77
amount,77
do,77
Article,77
G,77
index,76
collected,76
Furthermore,76
general,76
combined,76
i,76
analyses,75
areas,75
United,75
five,75
either,75
density,75
report,75
detected,75
women,75
extract,75
cross,74
frozen,74
relative,74
juices,74
needed,74
countries,74
leaves,74
distribution,74
caused,74
result,74
fatty,74
combination,74
form,73
Industry,73
technique,73
mainly,73
interest,73
indicate,73
K,73
factor,73
taste,73
care,73
fungi,73
clinical,73
tomato,73
T,72
pre,72
extracts,72
M,72
H,72
family,72
adults,72
second,72
apple,72
resulting,72
currently,72
symptoms,72
contribute,71
liquid,71
strains,71
lipid,71
uses,71
promising,71
request,71
basis,71
so,71
Background,71
nutrition,71
conventional,71
carbon,71
patterns,70
set,70
green,70
end,70
Food,70
carrots,70
diversity,70
heat,70
induced,70
develop,70
R,69
nutrients,69
degradation,69
growing,69
followed,69
China,69
enzyme,69
point,69
prepared,69
pretreatment,69
traditional,69
isolates,68
pathogens,68
region,68
added,68
W,68
practice,68
critical,68
appropriate,68
MRLs,67
biological,67
economic,67
average,67
approaches,67
increases,67
strong,67
environment,66
consideration,66
feed,66
via,66
technologies,66
lead,66
understand,66
likely,65
aimed,65
developing,65
selection,65
commercial,65
way,65
bacteria,65
much,64
proposals,64
diets,64
regarding,64
variety,64
Commission,64
able,64
genetic,63
focus,63
detection,63
analytical,63
temperatures,63
estimated,63
All,63
liking,63
physicochemical,63
pathogen,63
enhanced,63
even,63
males,62
selected,62
agent,62
consumed,62
frequency,62
conclusions,62
wheat,62
meat,62
daily,62
d,61
MS,61
mL,61
animal,61
solid,61
difference,61
potentially,61
validated,61
cause,61
discussed,61
decrease,61
perceived,61
involved,61
kinetics,61
what,61
single,61
rice,61
monitoring,61
isolated,61
corn,60
mean,60
challenges,60
sodium,60
soluble,60
particular,60
times,60
BACKGROUND,60
BMI,60
sufficient,60
preservation,60
preference,60
vs,60
RESULTS,60
suitable,59
target,59
demand,59
regions,59
hot,59
fungal,59
association,59
pesticides,59
additional,59
assisted,59
useful,59
comparison,59
costs,59
occurrence,59
variables,59
commodities,58
exhibited,58
people,58
confirmed,58
infection,58
transfer,58
suggesting,58
solution,58
assessments,58
young,58
sustainable,57
needs,57
reference,57
Phytophthora,57
shows,57
primary,57
component,57
outcomes,57
At,57
milk,57
resources,57
widely,57
led,57
initial,56
weeks,56
Overall,56
history,56
experiments,56
characterized,56
around,56
powder,56
shown,56
communities,56
examine,56
dependent,56
Health,56
breeding,56
cm,55
education,55
An,55
functions,55
spp,55
improving,55
variation,55
experiment,55
received,55
cooking,55
seeds,55
rates,55
amounts,55
w,55
whole,55
One,55
formation,55
does,54
controlled,54
enhance,54
area,54
world,54
yeast,54
direct,54
native,54
controls,54
objective,54
attention,53
plasma,53
industrial,53
DNA,53
tissue,53
chain,53
mechanism,53
strategy,53
fried,52
suggests,52
chewing,52
While,52
providing,52
retention,52
recommendations,52
concluded,52
accordance,52
competent,52
items,52
raw,52
particle,51
measures,51
male,51
scientific,51
sugar,51
suggested,51
cultivars,51
great,51
release,51
hybrid,51
survey,51
hardness,51
Conclusion,51
infrared,51
pest,51
edible,51
least,51
adult,51
survival,50
implications,50
efficacy,50
therefore,50
obesity,50
animals,50
interaction,50
Using,50
sensitivity,50
ingredients,50
lowest,50
heating,50
forms,50
emerging,50
optimal,49
preferences,49
generally,49
regulation,49
since,49
previously,49
particularly,49
enforcement,49
features,49
secondary,49
modify,49
demonstrate,49
issues,49
diverse,49
stable,49
find,49
acceptance,49
members,49
sucrose,49
third,49
few,48
action,48
