keyword,freq_2016
the,11693
of,10691
and,10418
in,5709
to,5620
a,3596
for,2670
with,2123
The,2117
that,2046
is,1890
on,1863
was,1773
as,1748
were,1706
by,1465
are,1317
from,1184
be,995
this,922
food,862
an,831
or,754
at,748
study,718
In,681
This,630
have,605
not,601
their,590
which,553
can,511
used,489
has,476
s,469
between,450
C,440
also,440
more,431
than,420
results,415
drying,405
but,404
been,399
A,398
We,395
different,390
high,388
using,387
these,384
use,378
P,370
we,369
during,365
quality,356
risk,353
health,351
data,345
may,342
species,338
such,332
based,327
foods,321
g,320
its,318
two,317
time,312
both,309
control,307
higher,307
it,302
other,295
products,294
activity,290
effect,289
effects,287
plant,287
analysis,284
increased,278
showed,276
research,272
total,270
most,268
content,267
well,266
potential,266
treatment,264
children,264
all,259
studies,254
plants,251
had,247
significantly,245
into,240
process,240
after,240
significant,238
samples,237
could,234
important,233
when,233
properties,230
one,230
low,228
vegetables,227
levels,227
model,226
found,226
conditions,225
processing,223
However,223
no,222
development,220
review,217
mg,215
L,214
new,214
compared,214
compounds,212
fruit,211
antioxidant,209
identified,209
how,206
information,204
water,203
under,203
growth,201
temperature,199
soil,198
related,198
dietary,198
only,198
acid,197
observed,197
three,194
including,193
about,193
methods,190
juice,188
production,183
associated,183
diet,182
over,180
article,179
present,179
changes,178
some,177
those,176
method,175
product,174
while,173
factors,172
respectively,171
These,171
oil,171
human,170
level,170
carrot,169
role,169
group,167
assessment,167
increase,166
consumption,165
Results,163
they,163
reduced,162
years,162
protein,161
system,161
through,161
sensory,159
investigated,158
first,157
resistance,156
will,156
within,156
specific,156
kg,155
concentration,155
storage,155
among,154
non,154
differences,153
management,153
EFSA,153
consumer,151
work,149
intake,149
patients,148
field,148
application,148
disease,147
N,145
reported,145
It,144
vegetable,143
value,143
range,143
concentrations,142
S,141
available,140
Practical,139
knowledge,138
European,138
lower,137
values,137
out,135
test,135
active,134
exposure,134
min,134
applications,134
life,134
To,133
evaluated,133
paper,133
social,132
effective,132
improve,132
systems,131
fruits,130
there,129
state,129
many,129
against,128
rate,128
policy,128
response,127
fresh,127
No,127
due,127
provide,126
approach,126
crops,125
p,125
up,125
show,124
D,124
addition,124
groups,123
healthy,123
number,122
EU,122
natural,122
type,121
considered,121
T,120
required,120
each,120
color,119
e,119
consumers,118
performance,118
evidence,117
findings,117
influence,117
did,117
population,116
various,115
change,115
highest,114
order,114
impact,114
air,114
age,114
weight,113
our,113
should,111
further,111
major,110
treatments,110
obtained,110
decreased,110
processes,109
being,109
applied,108
similar,108
several,107
where,107
current,106
