keyword,freq_2015
the,12319
of,11078
and,10768
to,5939
in,5910
a,3632
for,2745
with,2308
The,2133
that,2073
on,1979
is,1950
was,1912
were,1876
as,1799
by,1649
are,1342
from,1302
be,1051
this,944
food,875
an,866
at,829
In,778
or,722
study,702
their,656
not,642
This,612
which,584
have,583
has,541
s,515
can,497
risk,464
between,462
used,454
more,440
also,434
than,425
drying,422
A,417
been,416
results,410
C,409
We,406
but,404
use,397
high,396
data,387
using,385
these,379
different,376
we,363
during,361
g,359
species,355
health,353
may,350
quality,347
P,338
such,338
control,327
higher,324
time,323
plants,320
it,317
based,317
its,317
two,317
foods,315
plant,313
both,304
other,303
products,300
activity,295
analysis,289
well,288
effect,283
children,283
effects,282
potential,276
content,275
samples,272
mg,270
acid,264
all,264
showed,259
EFSA,258
water,257
most,253
assessment,252
properties,250
had,249
research,243
increased,242
could,240
total,238
significantly,237
related,235
after,235
levels,234
compared,234
studies,232
into,230
found,228
important,228
identified,227
one,226
low,225
production,225
process,224
associated,223
no,222
European,221
However,221
when,220
treatment,220
N,219
model,219
conditions,218
growth,217
kg,217
vegetables,216
only,213
some,210
values,209
under,209
consumer,208
temperature,208
soil,206
review,205
significant,203
processing,201
L,200
method,200
new,199
reported,199
dietary,198
observed,196
information,195
protein,191
factors,190
three,190
role,190
including,190
patients,189
how,188
No,188
methods,187
about,186
level,186
they,185
fruit,185
storage,184
changes,181
over,181
article,180
development,180
through,179
application,176
compounds,176
order,175
antioxidant,175
Results,174
first,171
specific,170
years,168
juice,168
system,167
consumption,167
while,167
MRL,166
respectively,166
exposure,164
derived,163
will,162
increase,162
considered,160
rate,158
investigated,158
Regulation,158
active,156
sensory,156
carrot,156
test,155
reduced,155
those,155
work,154
disease,153
present,153
should,152
within,150
product,150
group,149
S,149
management,148
lower,148
It,148
EU,146
available,146
non,145
required,144
out,144
among,143
there,143
These,142
proposed,142
Practical,141
evaluated,141
EC,140
number,140
crops,138
range,137
value,137
weight,136
life,136
natural,136
consumers,135
fruits,135
effective,134
knowledge,134
color,132
e,132
many,132
human,131
population,129
oil,129
policy,129
concentration,128
major,128
differences,128
further,128
diet,128
against,127
concentrations,127
change,127
approach,127
due,127
To,126
groups,125
intake,125
field,125
obtained,125
influence,125
days,125
addition,124
suggest,124
provide,123
up,122
being,122
paper,122
systems,121
response,121
framework,121
practices,120
resistance,120
residues,120
dried,119
capacity,119
current,118
air,118
several,118
each,118
improve,118
Article,118
parameters,117
regulatory,116
did,116
Methods,116
Applications,115
size,114
MRLs,114
our,113
energy,112
characteristics,111
maximum,111
Member,111
age,111
day,111
performance,111
expression,111
increasing,110
cell,110
state,110
fresh,109
very,109
better,109
four,109
highest,109
strategies,108
where,108
whether,108
environmental,108
early,108
type,108
public,107
loss,107
impact,107
substance,106
treatments,106
less,106
positive,106
proteins,105
evaluation,105
reduction,105
studied,105
decreased,105
applied,105
vegetable,104
findings,104
nutritional,104
p,104
models,104
similar,103
mass,103
various,103
efficiency,103
processes,102
likely,101
often,101
long,101
show,101
presented,101
determined,101
produced,100
tests,100
Based,100
Wiley,100
countries,100
tested,99
carried,99
chemical,99
agricultural,98
Food,98
seed,98
support,98
evidence,98
established,98
B,98
developed,98
existing,97
large,97
behavior,97
crop,97
women,96
literature,96
Our,95
without,95
texture,95
conducted,95
healthy,94
result,94
residue,94
I,94
composition,93
social,93
known,92
gene,92
Commission,92
produce,91
self,91
organic,91
functional,91
fat,91
root,90
For,89
responses,89
cells,89
case,89
red,89
design,89
T,88
factor,88
uses,88
main,88
across,87
microbial,87
microwave,87
included,87
moisture,87
symptoms,87
host,87
As,87
feeding,87
E,86
aim,86
power,86
m,86
possible,86
performed,86
context,86
greater,86
i,86
evaluate,86
novel,86
stability,86
activities,85
conclusions,85
essential,85
extraction,85
who,85
industry,84
ability,84
good,84
body,84
adults,84
assess,84
Although,84
them,84
sample,84
ratio,84
because,84
economic,84
physical,83
assessed,83
key,83
leaves,83
applications,83
care,83
accordance,83
conventional,82
limited,82
H,82
structure,82
thermal,82
provides,82
year,82
then,81
individual,81
understanding,81
R,81
like,81
State,81
provided,80
h,80
carotenoids,80
safety,80
following,80
indicated,80
pH,80
future,80
report,80
affect,80
benefits,80
need,80
Conclusions,79
nutrition,79
strains,79
D,79
any,79
whereas,79
commercial,78
detected,78
clinical,78
collected,78
material,78
received,78
alternative,78
processed,77
cancer,77
therefore,77
According,77
treated,77
revealed,77
small,77
carotene,77
term,77
reference,76
demonstrated,76
genetic,76
resulted,76
affected,76
Society,76
initial,76
diseases,76
months,76
surface,76
currently,76
common,76
seeds,76
min,76
made,75
investigate,75
oral,75
reduce,75
pressure,74
animal,74
set,74
carrots,74
environment,74
wild,74
temperatures,74
area,74
political,74
sugar,74
consideration,74
phenolic,74
same,74
There,74
F,73
peer,73
improved,73
relative,73
caused,73
however,73
black,72
rates,72
contents,72
States,72
measured,72
recent,72
China,72
global,72
genes,72
even,72
measures,72
pesticide,71
areas,71
light,71
still,71
shown,71
per,71
function,71
would,71
rice,70
growing,70
best,70
retention,70
types,70
combined,70
n,70
vs,70
proposals,69
materials,69
mechanisms,69
period,69
source,69
infrared,69
examined,69
induced,69
free,69
pathogens,68
appropriate,68
identify,68
choice,68
practice,68
before,68
mean,68
rich,68
either,67
sources,67
regarding,67
general,67
determine,67
so,67
analyzed,67
eating,67
vitamin,67
cross,67
basis,66
post,66
frequency,66
useful,66
presence,66
particular,66
relationship,66
IgE,65
local,65
Chemical,65
what,65
fermentation,65
include,65
mL,65
distribution,65
M,64
terms,64
Background,64
experimental,64
tomato,63
critical,63
do,63
isolates,63
anthocyanin,63
if,63
CI,63
efficacy,63
bacteria,63
traditional,63
single,63
leaf,63
outcomes,62
animals,62
scale,62
components,62
Therefore,62
wheat,62
participants,62
individuals,62
variation,61
child,61
negative,61
pre,61
behaviour,61
vitro,61
culture,61
relevant,61
five,61
combination,61
objective,60
bioactive,60
hot,60
flavor,60
containing,60
O,60
allergy,60
shelf,60
infection,59
condition,59
analyses,59
examine,59
although,59
consumed,59
occurrence,59
transfer,59
times,59
biological,58
described,58
reviewed,58
highly,58
interest,58
target,58
effectiveness,58
nutrient,58
roots,58
density,58
especially,57
require,57
play,57
given,57
taste,57
techniques,57
RESULTS,57
shows,57
particularly,57
isolated,57
cost,57
indicate,57
suggests,57
II,57
thus,56
might,56
overall,56
complex,56
evaluating,56
help,56
experiments,56
involved,56
intervention,55
W,55
BACKGROUND,55
Chinese,55
fibre,55
part,55
selected,55
starch,55
average,55
added,55
chewing,55
sufficient,55
concludes,55
rather,55
variety,55
attributes,55
short,55
Industry,55
market,55
losses,54
intended,54
formation,54
exhibited,54
way,54
soils,54
focus,54
raw,54
multiple,54
patterns,54
regulation,54
world,53
difference,53
John,53
Europe,53
Ltd,53
profile,53
since,53
modified,53
reducing,53
association,53
does,52
nature,52
pest,52
dry,52
mixed,52
yield,52
followed,52
develop,52
potato,52
mainly,52
find,52
beverages,52
media,52
pathogen,52
juices,52
populations,52
cases,52
waste,52
survey,51
regions,51
aged,51
feed,51
Using,51
packaging,51
little,51
fiber,51
decrease,51
suitable,51
widely,51
standard,51
approaches,51
females,51
Sons,50
comparison,50
solution,50
states,50
contrast,50
vacuum,50
medium,50
Safety,50
detection,50
Periodicals,50
Inc,50
sodium,50
EMS,50
people,50
Thus,50
history,50
few,50
expected,50
via,50
nutrients,50
acids,49
freeze,49
fields,49
heat,49
end,49
survival,49
Here,49
metabolites,49
making,49
second,49
final,49
analytical,49
meat,49
lettuce,49
dependent,49
describe,48
needed,48
technology,48
security,48
perception,48
necessary,48
interactions,48
characterized,48
diversity,48
able,48
protection,48
subjects,48
phase,48
Authority,48
Moreover,48
much,48
Copyright,48
corn,48
Pb,47
unlikely,47
molecular,47
slices,47
toxicological,47
stress,47
male,47
lead,47
school,47
extent,47
students,47
community,47
frying,47
selection,47
lack,47
uptake,47
carbon,47
activation,47
apple,46
make,46
sensitive,46
flow,46
modify,46
Furthermore,46
led,46
analysed,46
bacterial,46
DNA,46
region,46
discussed,46
managers,46
cm,46
intensity,46
primary,46
previous,46
w,46
frequently,45
least,45
extract,45
obesity,45
tool,45
towards,45
according,45
policies,45
milk,45
reactions,45
While,45
pose,45
young,45
stage,45
preference,45
nitrogen,45
problems,45
Russia,45
powder,45
Hence,45
wide,45
family,44
parents,44
strong,44
metabolism,44
additional,44
recommendations,44
allergic,44
South,44
optimal,44
demonstrate,44
address,44
flour,44
Conclusion,44
kinetics,44
attention,44
importance,44
technologies,44
relatively,44
issues,44
efficient,44
pathway,44
science,44
great,43
features,43
promote,43
confirmed,43
component,43
around,43
larger,43
suggested,43
government,43
commodities,43
amount,43
enhanced,43
ascorbic,43
CONCLUSION,43
UK,43
enzyme,43
providing,43
mediated,43
spp,43
enforcement,43
