keyword,freq_2014
the,12982
of,11513
and,11024
to,6178
in,6167
a,3720
for,2922
with,2322
The,2153
on,2140
that,2057
is,2002
was,1998
were,1925
by,1920
as,1853
are,1425
from,1388
be,1062
an,926
at,898
this,882
food,859
In,796
or,765
not,651
which,642
study,641
their,616
This,613
risk,606
has,577
have,546
s,507
can,486
data,480
A,461
between,459
these,445
than,445
C,440
also,435
more,433
results,420
used,411
but,405
been,401
using,400
use,389
drying,387
EFSA,384
we,376
species,373
may,373
We,369
high,363
assessment,348
other,347
European,345
different,343
plants,342
g,332
plant,331
both,329
studies,328
two,325
during,321
based,315
control,315
well,313
it,311
such,309
effects,307
health,306
kg,303
mg,298
all,292
its,290
quality,289
time,288
products,284
levels,282
P,281
analysis,281
most,278
higher,277
found,271
consumer,269
under,268
effect,264
showed,262
acid,262
samples,260
No,256
identified,254
derived,254
water,253
foods,252
children,251
related,250
only,249
content,242
some,239
research,238
review,235
had,234
reported,233
no,232
into,232
total,230
production,229
potential,229
MRL,226
low,225
important,224
after,224
compared,224
conditions,223
including,221
growth,220
associated,219
one,219
increased,218
information,217
order,216
treatment,214
level,213
could,212
available,212
method,211
significant,211
significantly,211
methods,210
values,209
activity,209
new,209
process,209
considered,207
EC,206
However,205
when,204
Regulation,204
specific,198
properties,197
development,196
they,196
vegetables,195
fruit,193
model,193
observed,192
L,191
through,190
MRLs,190
exposure,189
residues,189
temperature,189
soil,182
over,181
S,181
processing,179
first,178
crops,178
present,177
increase,177
active,176
proposed,174
will,174
how,173
three,172
protein,172
N,171
framework,170
required,170
should,170
respectively,168
It,168
being,166
out,165
role,165
Article,163
changes,160
Food,159
article,158
up,158
while,157
years,157
about,156
storage,156
evidence,155
factors,155
disease,154
regulatory,154
application,154
Member,154
consumption,153
These,153
Results,151
dietary,151
within,150
among,148
system,147
gene,146
rate,145
further,145
consumers,145
many,144
reduced,144
field,144
compounds,142
carrot,142
diet,141
life,141
fruits,141
there,140
expression,140
group,140
management,139
those,139
e,139
Based,139
Commission,137
number,137
investigated,137
days,137
non,136
approach,135
evaluated,134
human,134
host,134
day,133
effective,133
evaluation,131
provide,131
natural,130
models,130
impact,130
substance,129
weight,129
E,128
groups,128
product,128
practices,127
suggest,126
response,126
change,126
work,126
patients,126
test,126
established,125
carried,125
energy,125
juice,125
cell,125
existing,125
EU,125
lower,125
fresh,124
against,124
proposals,124
sensory,124
current,123
value,123
To,123
environmental,121
range,120
characteristics,119
obtained,119
several,118
each,118
intake,117
various,117
Practical,117
proteins,117
cells,116
agricultural,115
findings,115
Methods,115
did,114
size,114
population,114
our,114
crop,114
oil,113
due,113
pesticide,113
paper,113
conclusions,112
less,111
applied,111
concentrations,111
For,111
D,111
possible,111
performance,110
capacity,110
accordance,110
Wiley,110
studied,110
concentration,109
major,109
tested,109
isolates,109
age,109
addition,108
processed,108
where,108
uses,108
positive,108
mass,108
antioxidant,108
similar,107
assess,107
knowledge,107
influence,106
There,105
vegetable,105
By,105
treatments,105
large,105
better,105
context,105
support,104
Applications,104
result,104
developed,104
systems,104
power,104
color,104
common,103
Our,103
reduction,103
literature,103
According,103
Although,103
likely,102
States,102
As,101
parameters,101
policy,101
improve,101
long,100
chemical,100
whether,100
function,100
show,100
differences,100
B,99
report,99
reviewed,99
m,99
I,99
produced,98
FFS,98
because,98
h,98
produce,98
highest,98
consideration,98
occurrence,98
farmers,97
included,97
often,97
very,96
presented,96
early,96
small,96
determined,96
air,95
root,95
state,95
four,95
Safety,95
social,94
participants,94
T,94
increasing,94
known,94
sample,93
main,93
loss,93
greater,92
treated,92
strategies,92
public,92
activities,91
revealed,91
self,91
body,91
commodities,91
across,91
assessed,90
genes,90
reference,90
type,90
p,90
collected,90
clinical,89
R,89
countries,89
outcomes,88
Society,88
nutritional,88
Authority,88
decreased,87
processes,87
without,87
term,87
ratio,87
therefore,87
currently,87
them,87
conducted,87
limited,87
provides,87
i,87
bacteria,87
need,87
efficiency,86
seed,86
following,86
feeding,86
performed,86
alternative,85
resistance,85
still,85
wheat,85
min,85
appropriate,85
dried,85
adults,85
structure,85
good,84
received,84
II,83
behavior,83
economic,83
peer,83
